URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/event/classes-and-workshops/animate-it!-youth-stop-motion-lab/77066/",73,63,83,54,92,2740.35,24737.19,0,57,7,8561.18,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/edible-art-workshop-series/77586/",73,64,83,54,92,3041.11,22521.8,0,54,5,6570.36,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/garden-fundamentals-workshop/77637/",73,64,83,54,92,2737.57,23574.07,0,54,4,7280.41,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/grow-your-own-herb-garden/77946/",74,65,83,54,92,2739.07,28101.46,0.02,54,4,6134.92,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/healthy-soils-%3d-happy-plants/77342/",73,64,83,54,92,3040.01,21205.11,0.01,54,4,6641.51,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/healthy-trees-happy-landscapes-class-presented-by-treeutah/76943/",73,63,83,54,92,2741.57,25344.78,0,55,5,8106.02,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/learn-puppetry-basics-with-puppets-in-the-city/77068/",74,65,83,54,92,2739.09,22296.27,0,53,3,6365.99,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/localscapes/77876/",74,65,83,54,92,3039.19,21027.95,0,74,41,5589.31,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/mastering-the-camera%3a-youth-cinematography-lab/77069/",73,64,83,54,92,2741.33,27115.88,0,55,5,6868.93,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/medical-qigong-practitioner-level-1%3a-traditional-chinese-energetic-medicine-for-wellness/77983/",73,61,83,54,92,2740.33,25858.5,0,215,198,7042.32,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/mens-mental-health-discussion-group/77532/",73,62,83,54,92,3038.53,25750.27,0,53,6,7735.56,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/parenting-the-love-and-logic-way/76865/",73,64,83,54,92,3040.25,26081.56,0,56,6,6652.84,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/poetry-writing-group/76822/",73,61,83,54,92,3040.53,24683.4,0,56,6,8723.68,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/rooted-in-success%3a-learn-how-to-plant-trees-the-right-way-with-treeutah/76933/",73,63,83,54,92,2739.37,26336.93,0,55,5,7698.4,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/seed-stewards-(virtual)/77560/",73,63,83,54,92,2738.56,26183.47,0,52,2,7710.01,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/seed-stewards-(virtual)/77640/",73,63,83,54,92,2742.86,26347.38,0,51,1,7571.53,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/special-effects-for-kids%3a-make-movies-come-alive/77104/",73,63,83,54,92,3042.66,26087.28,0,55,5,6770.44,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/the-big-read%3a-native-plant-walk-and-community-poem-writing-experience/72993/",73,62,83,54,92,3039.33,22552.37,0,54,4,8450.87,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/the-maiden-%26-the-king-within/77483/",73,63,83,54,92,2740.9,25553.04,0,58,9,8113.98,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/the-pre-quill-conference/77100/",73,63,83,54,92,2741.13,28023.36,0,53,5,8044.06,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/writing-the-present%3a-poetry-presence-and-the-creative-voice/76610/",73,64,83,54,92,2740.92,23976.3,0,54,6,7406.16,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/youth-fishing-club/77817/",74,65,83,54,92,2742.39,25539.47,0,55,5,6542.14,0,0,1,1,0,0,1,1,1
"/event/crazy-daisy-spring-market/75522/",73,62,83,54,92,2743.73,13539.4,0.01,53,1.5,8855.33,0,0,1,1,0,0,1,1,1
