"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","text/html; charset=utf-8","200","OK","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/shopping/farmers-markets/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/film/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/japanese/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/event/seussical-the-musical/76210/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.visitsaltlake.com/places-to-stay/resorts/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/press-research/photos-videos/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-festivals-in-salt-lake/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/downtown-salt-lake/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/salt-lake-and-beyond/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/bars/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lift-tickets-and-passes-for-alta/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/events/festivals-special-events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/amusement-parks-water-parks/","text/html; charset=utf-8","200","OK","Indexable",""
