"Address","Errors","Warnings","Rich Result Errors","Rich Result Warnings","Rich Result Features","Feature-1","Total Types","Unique Types","Type-1","Indexability","Indexability Status"
"https://www.visitsaltlake.com/about-us/board-of-directors/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/travel-trade/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/restaurants-%26-bars/5a9dab99cd9d441d5835b2d1/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/the-great-salt-lake-region/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/pizza/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/events/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/hotels-lodging/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/alta-trail-map/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/restaurants/outdoor-seating/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/sushi/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/shopping/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/salt-lake-city/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/","0","0","0","0","0","","0","0","","Non-Indexable","noindex"
"https://www.visitsaltlake.com/press-research/local-media/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/hotels-lodging/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/parking/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/summer-outdoor-adventure/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/about-us/awards/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-skiing-near-salt-lake-trade-sand-for-snow-and-spring-break-on-the-slopes/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-hiking-in-salt-lake-the-best-trails-conditions-tips/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/podcasts/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/press-research/contact/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/birdwatching-areas/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/super-pass/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/family-vacation/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/meetings/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/breakfast-brunch/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/hotels-lodging/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/about-us/ctaa-committee/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/sports/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/shopping/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/members/member-resources/member-news-archive/","0","0","0","0","0","","0","0","","Non-Indexable","noindex"
