"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.visitsaltlake.com/things-to-do/shopping/farmers-markets/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/film/","0","","","","https://www.visitsaltlake.com/film/","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/japanese/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/","0","","","","https://www.visitsaltlake.com/midvalley/midvale/","","Indexable",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/collections/virtuals/css/widget_template_custom_regions_map.css","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/resorts/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/press-research/photos-videos/","0","","","","https://www.visitsaltlake.com/press-research/photos-videos/","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-festivals-in-salt-lake/","0","","","","https://www.visitsaltlake.com/blog/stories/post/spring-festivals-in-salt-lake/","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/downtown-salt-lake/","0","","","","https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/downtown-salt-lake/","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/salt-lake-and-beyond/","0","","","","https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/salt-lake-and-beyond/","","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/","0","","","","https://www.visitsaltlake.com/midvalley/holladay-murray/","","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/bars/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/collections/virtuals/css/ccl/side_by_side/shared_structure.css","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lift-tickets-and-passes-for-alta/","0","","","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lift-tickets-and-passes-for-alta/","","Indexable",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/collections/virtuals/css/ccl/marquee/variants/standard.css","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/events/festivals-special-events/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/","0","","","","https://www.visitsaltlake.com/plan-your-visit/","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/amusement-parks-water-parks/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/collections/virtuals/css/ccl/cards/shared_theme.css","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/vegan-vegetarian/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/snow-reports-conditions/","0","","","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/snow-reports-conditions/","","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/hotels-lodging/","0","","","","","","Indexable",""
