"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://www.visitsaltlake.com/restaurants/cuisine-types/bbq/","1","BBQ","3","","0","Indexable",""
"https://www.visitsaltlake.com/about-us/board-of-directors/","1","Board of Directors","18","","0","Indexable",""
"https://www.visitsaltlake.com/travel-trade/","1","Travel Trade in Salt Lake","25","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/restaurants-%26-bars/5a9dab99cd9d441d5835b2d1/","1","Category: Restaurants & Bars","28","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/the-great-salt-lake-region/","1","The Great Salt Lake Region ","27","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/pizza/","1","Pizza","5","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/events/","1","Central Salt Lake City Events","29","","0","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/hotels-lodging/","1","Little Cottonwood Hotels & Lodging","34","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/alta-trail-map/","1","Alta Trail Map","14","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/outdoor-seating/","1","Outdoor Seating","15","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/","1","Ski Resorts near Salt Lake City","31","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/sushi/","1","Sushi","5","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/shopping/","1","Holladay / Murray Shopping","26","","0","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/salt-lake-city/","1","Salt Lake City","14","","0","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/","1","Salt Lake City Hotel and Lodging Deals","38","","0","Non-Indexable","noindex"
"https://www.visitsaltlake.com/press-research/local-media/","1","Media Contacts","14","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/hotels-lodging/","1","University / Foothill Hotels & Lodging","38","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/parking/","1","Parking","7","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/summer-outdoor-adventure/","1","Summer Outdoor Adventure","24","","0","Indexable",""
"https://www.visitsaltlake.com/about-us/awards/","1","Visit Salt Lake's Awards & Accreditations","41","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-skiing-near-salt-lake-trade-sand-for-snow-and-spring-break-on-the-slopes/","1","Spring Skiing Near Salt Lake: Trade Sand for Snow and Spring Break on the Slopes","80","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-hiking-in-salt-lake-the-best-trails-conditions-tips/","1","Spring Hiking in Salt Lake: The Best Trails, Conditions & Tips","62","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/podcasts/","1","Podcasts","8","","0","Indexable",""
"https://www.visitsaltlake.com/press-research/contact/","1","Contact Us","10","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/birdwatching-areas/","1","Birdwatching Areas","18","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/super-pass/","1","SALT LAKE SKI SUPER PASS DETAILS","32","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/family-vacation/","0","","0","","0","Indexable",""
"https://www.visitsaltlake.com/meetings/","1","Salt Lake Meetings","18","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/breakfast-brunch/","1","Breakfast in the 801","20","","0","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/","1","Salt Lake Neighborhoods","23","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/hotels-lodging/","1","Granary / Ballpark Hotels & Lodging","35","","0","Indexable",""
"https://www.visitsaltlake.com/about-us/ctaa-committee/","1","Salt Lake County Convention & Tourism Assessment Area Committees","64","","0","Indexable",""
"https://www.visitsaltlake.com/sports/","1","Sports Salt Lake","16","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/shopping/","1","Cottonwood Heights Shopping","27","","0","Indexable",""
"https://www.visitsaltlake.com/members/member-resources/member-news-archive/","1","Member News Archive","19","","0","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/attractions/things-to-do-with-kids/","1","Things to Do in Salt Lake With Kids","35","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/family-fun/5a9dab99cd9d441d5835b2cd/","1","Category: Family Fun","20","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/arts-culture/","1","Salt Lake Arts, Culture, and Museums","36","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/bars/","1","Midvale Bars & Nightlife","24","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/sustainable-salt-lake/green-members/","1","Green Members","13","","0","Indexable",""
"https://www.visitsaltlake.com/west-valley/bars/","1","West Valley Bars & Nightlife","28","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/tours-experiences/salt-lake-sips-trail/","1","Salt Lake Sips Trail","20","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/nightlife-entertainment/gay-bars/","1","Drink it In:","12","","0","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/events/","1","Big Cottonwood Events","21","","0","Indexable",""
"https://www.visitsaltlake.com/south-valley/draper/restaurants/","1","Draper Restaurants","18","","0","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/mountain-resorts/","1","Mountain Resorts","16","","0","Indexable",""
"https://www.visitsaltlake.com/members/become-a-member/10-reasons-to-become-a-member/","1","Top 10 Reasons to Be a Member of Visit Salt Lake","48","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/asian/","1","Asian-Owned Business Are Plentiful Around Salt Lake","51","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/zoos-gardens/","1","Salt Lake City Zoos & Gardens","29","","0","Indexable",""
