"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.visitsaltlake.com/press-research/photos-videos/","1","View photos and videos of Salt Lake's residents, architecture, entertainment and more as well as learn crucial guidelines to using the photos and video.","152","925","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-festivals-in-salt-lake/","1","Festivals are back! Here in Salt Lake, there's a festival for everyone - it's a great time to try not just something familiar but also something new. Check out some of the best festival happenings.","197","1170","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/downtown-salt-lake/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/salt-lake-and-beyond/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/","1","Get to know the Midvalley neighborhoods of Murray and Holladay. Find restaurants and shopping or explore local favorites like Wheeler Historic Farm.","148","923","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/bars/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lift-tickets-and-passes-for-alta/","1","Find all the information you need and get your Alta Ski Area lift tickets and passes today. Explore options, prices, and savings for your next Utah skiing adventure.","165","991","Indexable",""
"https://www.visitsaltlake.com/events/festivals-special-events/","1","As a major city in the US, Salt Lake City hosts its fair share of art and music festivals as well as cultural celebrations and other special events.","148","864","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/","1","Plan your Salt Lake vacation with our trip planner. Find deals & discounts, maps, visitor center information, FAQs & more.","122","744","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/amusement-parks-water-parks/","1","There's fun for everyone at one of Salt Lake City's area theme parks and water parks. Find detailed listings, maps and reviews and plan your visit today.","153","927","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/vegan-vegetarian/","1","Looking for vegan and vegetarian restaurants? Check out these meatless options for veggie lovers that serve plant-based meals and delicious vegan finds.","152","951","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/snow-reports-conditions/","1","Find the latest snow reports, 24- and 48-hour snow totals, base depth, current road conditions, and weather forecasts for SLC's 4 legendary ski resorts.","152","930","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/hotels-lodging/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/city-local-parks/","1","Enjoy some fresh air and outdoor fun with the kids at one of Salt Lake City, Utah's parks. View details, maps and reviews","121","737","Indexable",""
"https://www.visitsaltlake.com/events/sports-outdoors/","1","Looking for outdoor adventure? You'll find it in Salt Lake City. View upcoming sports and outdoor events, from rock climbing to tractor pulls.","142","859","Indexable",""
"https://www.visitsaltlake.com/events/kids-families/","1","Looking for an event that's fun for all ages? View Salt Lake City's family-friendly events calendar for game nights, stargazing and much more.","142","866","Indexable",""
"https://www.visitsaltlake.com/things-to-do/tours-experiences/guided-tours-services/","1","With so many things to do in Salt Lake City, Utah, it can be tough to decide what to do first. Take a guided tour of the city to get you started!","145","856","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/","1","Find the best shopping malls, outlets, boutiques, antique shops, and outdoor malls in Salt Lake City, Utah.","107","648","Indexable",""
"https://www.visitsaltlake.com/restaurants/romantic/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/events/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/wellness/yoga/","1","Find your center during a yoga class in Salt Lake City. Find yoga studios and classes in Salt Lake City, including The Cliff Spa and Salt Lake Power Yoga.","154","930","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/bars/","1","Looking for something to do at night? Downtown Salt Lake City offers many options including piano bars, high-end cocktail bars, jazz bars, and pool bars.","153","946","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-trail-map/","1","Download a regular or GPS enabled PDF of Snowbird's ski trails and download the free GeoPDF so you can take the trail map with you on your smartphone.","150","955","Indexable",""
